epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2155.33,0.83939,0.76617,0.83814,0.61882,0.66431,0.68735,0.53508,0.70034,0.78737,0.8111,0.000742625,0.000742625,0.000742625
43,2208.43,0.82807,0.76022,0.83427,0.62233,0.64133,0.67963,0.53178,0.68515,0.80407,0.80528,0.00073025,0.00073025,0.00073025
44,2260.13,0.83745,0.76202,0.83701,0.6185,0.66956,0.6865,0.53511,0.70213,0.80877,0.8062,0.000717875,0.000717875,0.000717875
45,2311.24,0.82374,0.74622,0.83654,0.61561,0.66642,0.685,0.53486,0.68956,0.78758,0.80446,0.0007055,0.0007055,0.0007055
46,2362.11,0.82057,0.74216,0.8322,0.65522,0.65843,0.69513,0.5458,0.68884,0.79757,0.80536,0.000693125,0.000693125,0.000693125
47,2412.95,0.82566,0.7504,0.83431,0.60679,0.65213,0.67841,0.52529,0.69817,0.81168,0.80391,0.00068075,0.00068075,0.00068075
48,2463.91,0.82056,0.74692,0.83371,0.64265,0.65319,0.68682,0.53591,0.68429,0.78191,0.80346,0.000668375,0.000668375,0.000668375
49,2515.22,0.82699,0.74013,0.83482,0.59865,0.68705,0.67475,0.52213,0.70539,0.85612,0.80609,0.000656,0.000656,0.000656
50,2566.34,0.81252,0.72625,0.83044,0.60235,0.68903,0.69534,0.5468,0.68069,0.80621,0.8055,0.000643625,0.000643625,0.000643625
51,2617.79,0.81091,0.72557,0.83217,0.64963,0.65306,0.68232,0.53803,0.68276,0.78531,0.8039,0.00063125,0.00063125,0.00063125
52,2669.38,0.80592,0.72758,0.83081,0.60593,0.70463,0.68249,0.5353,0.67451,0.78853,0.80249,0.000618875,0.000618875,0.000618875
53,2720.96,0.80407,0.71532,0.83191,0.60449,0.69858,0.69147,0.54477,0.66659,0.76273,0.80133,0.0006065,0.0006065,0.0006065
54,2772.44,0.80887,0.72339,0.83028,0.63792,0.65846,0.69228,0.54458,0.66594,0.77195,0.80176,0.000594125,0.000594125,0.000594125
55,2824.21,0.79814,0.71299,0.83074,0.64079,0.65759,0.69525,0.54623,0.67679,0.81395,0.80192,0.00058175,0.00058175,0.00058175
56,2875.85,0.80093,0.71889,0.82921,0.64227,0.67332,0.69394,0.54814,0.66073,0.7951,0.80145,0.000569375,0.000569375,0.000569375
57,2927.61,0.79848,0.71195,0.82963,0.6117,0.66876,0.68078,0.5293,0.69303,0.79996,0.8038,0.000557,0.000557,0.000557
58,2979.78,0.79984,0.70928,0.82963,0.64647,0.67025,0.70511,0.55548,0.67032,0.79076,0.80423,0.000544625,0.000544625,0.000544625
59,3031.68,0.79248,0.69581,0.82719,0.63524,0.67928,0.69327,0.54689,0.66644,0.78577,0.80223,0.00053225,0.00053225,0.00053225
60,3082.71,0.79103,0.69619,0.8269,0.61943,0.67833,0.69285,0.54824,0.67546,0.79311,0.80082,0.000519875,0.000519875,0.000519875
61,3133.66,0.79,0.70131,0.82887,0.64444,0.6564,0.69033,0.54349,0.67207,0.77401,0.80207,0.0005075,0.0005075,0.0005075
62,3184.49,0.78651,0.69773,0.82604,0.62195,0.66922,0.68281,0.53917,0.66975,0.81327,0.80144,0.000495125,0.000495125,0.000495125
63,3235.64,0.78731,0.69815,0.82865,0.63962,0.66323,0.69451,0.54921,0.66941,0.79108,0.80919,0.00048275,0.00048275,0.00048275
64,3286.46,0.78235,0.69084,0.82793,0.61353,0.68457,0.68945,0.54231,0.65953,0.83778,0.80487,0.000470375,0.000470375,0.000470375
65,3337.08,0.7794,0.69019,0.82726,0.61751,0.69469,0.69508,0.553,0.6552,0.77057,0.80109,0.000458,0.000458,0.000458
66,3388.31,0.78635,0.68413,0.82627,0.63202,0.67815,0.68886,0.54653,0.66492,0.80619,0.80186,0.000445625,0.000445625,0.000445625
67,3439.38,0.77837,0.67775,0.82526,0.66219,0.66132,0.70655,0.55961,0.65481,0.79879,0.79943,0.00043325,0.00043325,0.00043325
68,3490.21,0.7796,0.67053,0.82658,0.6406,0.66147,0.69401,0.55269,0.65411,0.81333,0.80158,0.000420875,0.000420875,0.000420875
69,3540.97,0.77618,0.66697,0.82239,0.61937,0.69151,0.69383,0.55173,0.64275,0.79328,0.80031,0.0004085,0.0004085,0.0004085
70,3591.92,0.76547,0.65676,0.82437,0.61441,0.69976,0.70679,0.56383,0.65684,0.76462,0.80206,0.000396125,0.000396125,0.000396125
71,3642.79,0.76538,0.66438,0.8247,0.64286,0.67244,0.7034,0.56108,0.65913,0.77078,0.80547,0.00038375,0.00038375,0.00038375
72,3694.18,0.76419,0.65389,0.82299,0.63355,0.67802,0.69671,0.5528,0.6578,0.80222,0.80442,0.000371375,0.000371375,0.000371375
73,3745.74,0.76461,0.655,0.82334,0.65534,0.64832,0.69672,0.55058,0.6608,0.81189,0.80328,0.000359,0.000359,0.000359
74,3796.82,0.76127,0.64446,0.82111,0.62441,0.6859,0.70083,0.55912,0.64739,0.78578,0.80001,0.000346625,0.000346625,0.000346625
75,3848.07,0.76551,0.64473,0.82294,0.63517,0.66762,0.69507,0.54914,0.64805,0.78708,0.79906,0.00033425,0.00033425,0.00033425
76,3899.07,0.75636,0.63832,0.82113,0.62571,0.6727,0.69221,0.54966,0.65299,0.78998,0.80088,0.000321875,0.000321875,0.000321875
77,3950.02,0.75303,0.63779,0.8223,0.6494,0.65758,0.70267,0.56064,0.64406,0.77888,0.80088,0.0003095,0.0003095,0.0003095
78,4000.76,0.74819,0.63886,0.82089,0.63047,0.67762,0.69051,0.54788,0.65615,0.79843,0.80428,0.000297125,0.000297125,0.000297125
79,4051.48,0.75672,0.63428,0.8207,0.62325,0.69674,0.70369,0.55986,0.64656,0.78117,0.80035,0.00028475,0.00028475,0.00028475
80,4102.49,0.75057,0.63299,0.82276,0.63422,0.6957,0.70833,0.56386,0.64219,0.772,0.79937,0.000272375,0.000272375,0.000272375
81,4153.23,0.75296,0.62868,0.81983,0.63098,0.67791,0.70472,0.56118,0.64902,0.80253,0.80291,0.00026,0.00026,0.00026
82,4204.67,0.7492,0.63054,0.81766,0.66315,0.65777,0.71258,0.56717,0.64548,0.78564,0.7984,0.000247625,0.000247625,0.000247625
83,4255.57,0.74375,0.62469,0.81936,0.63166,0.6956,0.71312,0.57052,0.63855,0.75179,0.8,0.00023525,0.00023525,0.00023525
84,4306.47,0.74475,0.61737,0.81998,0.61562,0.70181,0.71108,0.56858,0.63846,0.75412,0.80022,0.000222875,0.000222875,0.000222875
85,4357.46,0.74373,0.61608,0.81994,0.6412,0.68853,0.7107,0.56947,0.63496,0.76791,0.80139,0.0002105,0.0002105,0.0002105
86,4408.36,0.73778,0.60714,0.81834,0.61876,0.71018,0.71543,0.57261,0.63133,0.77647,0.80013,0.000198125,0.000198125,0.000198125
87,4459.45,0.73468,0.60431,0.8155,0.63363,0.69496,0.70283,0.56615,0.63527,0.79632,0.79847,0.00018575,0.00018575,0.00018575
88,4511,0.73292,0.603,0.81891,0.63302,0.69009,0.70827,0.5675,0.63305,0.77884,0.79744,0.000173375,0.000173375,0.000173375
89,4561.88,0.73778,0.60584,0.81828,0.64086,0.68995,0.71225,0.56979,0.63636,0.78433,0.79907,0.000161,0.000161,0.000161
90,4612.57,0.73322,0.60194,0.81798,0.64813,0.6833,0.70935,0.56773,0.63256,0.78178,0.80191,0.000148625,0.000148625,0.000148625
91,4663.19,0.69352,0.54842,0.81065,0.64469,0.68668,0.71079,0.56746,0.63822,0.79982,0.79796,0.00013625,0.00013625,0.00013625
92,4712.32,0.68984,0.54104,0.80798,0.64376,0.70649,0.7139,0.57104,0.6342,0.79132,0.80066,0.000123875,0.000123875,0.000123875
93,4761.56,0.68705,0.5366,0.81017,0.63301,0.70939,0.71574,0.57367,0.63027,0.77385,0.79877,0.0001115,0.0001115,0.0001115
94,4810.76,0.68086,0.52168,0.81014,0.64557,0.69161,0.71174,0.56969,0.63255,0.81195,0.7981,9.9125e-05,9.9125e-05,9.9125e-05
95,4859.22,0.67688,0.5224,0.80729,0.6412,0.70111,0.71934,0.57436,0.62791,0.79152,0.79752,8.675e-05,8.675e-05,8.675e-05
96,4909.85,0.67564,0.51846,0.80565,0.66196,0.68724,0.71944,0.57596,0.62683,0.79303,0.79965,7.4375e-05,7.4375e-05,7.4375e-05
97,4958.85,0.6761,0.51274,0.80601,0.6248,0.72831,0.71934,0.57396,0.6267,0.81108,0.79937,6.2e-05,6.2e-05,6.2e-05
98,5007.76,0.67107,0.50749,0.80511,0.66492,0.69421,0.71981,0.57697,0.62269,0.79498,0.8007,4.9625e-05,4.9625e-05,4.9625e-05
99,5056.71,0.66923,0.50511,0.80828,0.65038,0.69458,0.71769,0.57553,0.62929,0.80266,0.80259,3.725e-05,3.725e-05,3.725e-05
100,5105.25,0.66783,0.50367,0.80793,0.64136,0.70727,0.71905,0.57645,0.63061,0.79961,0.80389,2.4875e-05,2.4875e-05,2.4875e-05
